day_of_week,is_holiday,temperature,precipitation,price_point,neighborhood_income,local_event_size,season,staff_count,marketing_spend,daily_revenue
6,False,23.973713224089863,1.0805466418373426,38.84433910624945,79003.66723779934,0,0,11,394.9620824375276,3798.25
0,False,18.89388559063052,0.502334676551649,30.079112793155765,49384.958015718286,0,0,9,172.91355139038322,3505.41
1,False,25.18150830480554,0.2553607830912936,32.30711653879077,66657.29142219343,0,0,9,325.5860368075346,3739.09
2,False,32.184238851264205,0.8238171597248649,29.77553081456592,71619.51080144005,0,0,6,436.28399435117245,4009.66
3,False,18.126773002213312,5.726242245382299,20.857289633941335,46096.04292632875,0,0,7,135.68173148482248,3745.78
4,False,18.126904344406555,0.7807676057629488,36.67356345784516,59107.119659072996,0,0,11,314.1342256062094,3792.55
5,False,32.63370252405913,1.4629056115203039,23.423170873225672,11380.989898963911,100,0,10,193.28656461992048,3665.05
6,False,26.13947783322327,2.4281739537617097,15.729478992943616,44634.185379985654,0,0,6,237.1707457113041,3104.44
0,False,16.244204912520384,0.9039489979339247,34.364168877215036,56211.4777291026,5000,0,10,289.5879765722225,5915.91
1,False,24.340480348687716,7.135596276583399,20.31332038221147,41283.25227052726,0,0,6,242.04172131172191,3455.78
2,False,16.292658457500302,6.564019729082796,43.21375753058743,84486.16955897454,0,0,6,359.5291361166304,3658.29
3,True,16.274161971437945,0.5801225899844106,43.617857310077625,38547.87933059051,500,0,6,291.8328407017001,3750.56
4,False,21.935698172528273,1.3753185569276944,42.44593170661346,53399.332699545244,0,0,7,333.6797938856677,3712.67
5,False,4.693758042737617,0.7158609201580935,26.10476100766333,61961.10865929137,5000,0,6,394.72899015796514,6278.25
6,False,6.200657339895738,0.6704993527621634,15.463698495866023,81619.09933599173,0,0,8,323.09690638017497,3613.27
0,False,15.501699766072218,0.07516895553104506,42.84955687763176,38462.06773230841,5000,0,13,334.61417386430367,6323.39
1,False,11.89735103732461,1.8809841419651863,27.84552444951943,77447.45628232439,0,0,10,325.7834170090565,3903.46
2,False,22.51397866076219,1.397039265659277,43.999644571310085,60153.4959152938,500,0,5,251.50905038051573,3751.5
3,False,12.735807395830314,0.10570217476078496,43.90859931267758,45277.37023428074,0,0,12,234.97873354876725,3683.07
4,False,8.701570389317668,0.6532518420207387,40.5902836640208,66931.55211394906,5000,0,11,459.85895885800494,6823.32
5,False,31.72519015137243,4.777721902178681,23.83346676208757,62985.895433602054,0,0,14,343.02208891742913,3986.29
6,False,18.193789596107713,0.5477211042841541,26.552931858057757,50996.74684261808,0,0,7,197.7412621858618,3517.64
0,False,20.54022563750339,0.3130617219709395,40.534100145505704,61047.031274850284,5000,0,5,299.29907913957607,6168.18
1,True,8.602014510292346,1.3445442189472725,24.50766015468833,54220.2960470736,0,0,9,232.1393925123656,3531.85
2,False,15.644938203798539,8.48807396523052,20.084782400582775,61702.76017876872,0,0,8,473.47672950394985,3938.48
3,False,20.88738071767893,0.5542896271194524,31.704037873750504,69931.9601178157,0,0,14,103.01374525362989,3410.36
4,False,10.792051380621578,2.2303100205945867,43.08464322482343,83790.25224218029,0,0,12,190.1331190850113,4021.6
5,False,23.005584146765376,2.8677752524789257,35.88089390024919,41432.76751759727,0,0,5,246.14272786962306,3773.05
6,False,15.19489048064956,0.5426663446716116,32.10183510268095,91995.500619844,0,0,14,295.12392032349516,3473.16
0,False,17.666450001653786,2.6054978569846323,17.915294813123054,30718.68300716247,1000,0,5,440.3270071344585,3582.91
1,False,15.186347102164824,0.917045598528608,33.45021680097509,57723.22357446625,0,0,8,135.15504981605756,3394.97
2,False,34.818225476071504,2.0010074954635426,44.7016155031279,68824.75809726864,0,0,12,422.3459546964574,4131.01
3,False,19.892022202096527,2.0076756542752765,19.202520457095723,64214.87801602549,5000,0,9,122.26139574279014,5665.02
4,False,11.538312568352797,1.5347704999046976,30.5498895709121,50659.50720269109,500,0,6,436.92561411927267,4889.01
5,False,26.580359296825513,0.1892583176232419,41.32119215783867,56878.16624464087,0,0,10,120.65419114980514,4193.48
6,False,10.233250800231822,3.607289588492594,37.22305853262613,52604.985980117504,0,0,9,107.29699257134442,3209.8
0,False,21.670908760038042,0.7736205873347932,35.910472229858044,51159.52864583683,0,0,6,378.7845849465686,3586.48
1,True,4.322639008961795,0.4128642132151131,36.07452251961328,72744.03145531537,0,0,7,498.90221390735775,3794.77
2,False,9.374511608812556,0.0832595195886904,25.784734536592655,65355.23228947571,0,0,13,458.6441051896083,3952.46
3,False,21.574889886952988,1.787556809189167,23.8077553279348,49606.35607109019,0,0,11,330.399367122264,3690.8
4,False,25.907732639963285,2.2637034685346977,39.28083466435541,73493.99813149875,0,0,11,466.95824523421265,4446.67
5,True,21.370946249519765,0.03345389511694124,39.30340184037542,64609.49281314914,0,0,10,102.12000255904216,4765.24
6,False,19.074813740894076,1.4352611690989767,41.01216955740311,72192.9317825844,5000,0,12,490.026865178057,6211.75
0,False,17.59117043528569,0.5136482941099153,42.397216576694134,69444.43262885418,5000,0,8,296.29951170351376,6152.34
1,False,8.171824077060581,2.072248683095384,30.340271965828133,47565.07483616892,0,0,12,389.1584386487103,3463.39
2,False,14.24124633284233,0.3832084450782675,30.045488840615988,51597.284397045456,0,0,8,428.344589261341,3302.87
3,False,16.3148898323217,2.348425055135438,38.948855369003255,71209.40407684892,0,0,12,387.38290833462145,3832.46
4,False,28.456977809751326,0.9779174019622036,34.498917923332954,69155.55398150197,500,0,13,314.0146928179642,4068.73
5,False,22.74894631654769,5.520687635608614,36.059006317731104,59686.47609053778,0,0,7,290.6477936505648,4000.64
6,False,5.895678757098128,0.2958888268785579,38.873780083083034,61759.91074963173,0,0,7,435.43302348104993,3426.12
0,False,22.59267175515836,0.8342648679903435,41.70016025452699,79164.97343682637,1000,0,6,182.03102405978365,4109.16
1,False,16.919341756669468,0.24088857007399284,25.139854705546075,51126.42916746255,500,0,14,487.1976266016937,4244.01
2,False,14.584623997552331,5.172380794301447,26.26748857919832,68206.46071755057,1000,0,7,384.3809915346993,4311.24
3,False,24.893410310726942,4.196667414321988,17.81945819522607,56967.110213491585,100,0,7,179.80277093532789,3592.98
4,False,28.247996179967608,0.5966547401229778,32.34840422988522,56734.78195159169,0,0,9,394.4988734793953,3984.19
5,False,27.45024095292959,2.157525478087829,16.078268213902263,76481.65277980786,0,0,9,311.93600927244665,4006.59
6,False,13.28625981421889,3.3989681452784426,28.967940543973803,72381.24523482045,1000,0,6,382.8920382577778,3988.67
0,False,17.526300993190283,1.6202647213730161,31.2793390412273,72202.64454000958,500,0,14,407.1118005771355,3840.91
1,False,22.65010745122851,1.5085588203878921,23.596237563848533,79582.18210731493,0,0,10,134.91607183587018,3346.49
2,False,27.804361016978874,0.5537540908758063,32.724997817070324,60315.05762449138,0,1,9,302.44158254373883,3478.89
3,False,16.16660609723768,0.19545228094988146,15.915007498171484,70229.29456942446,0,1,10,472.8057369027737,3534.98
4,True,18.514728186689464,4.550246450389046,16.12044566247643,55345.99865109816,500,1,5,228.2568768638057,5254.76
5,False,11.149320207951774,4.6135488552968535,39.67801681978975,64862.49528732663,5000,1,9,337.55323902315956,7353.66
6,False,10.430347007354634,2.0053398389657695,25.805719242337886,58047.85418448473,0,1,13,247.69219260395846,3347.47
0,False,26.500206579153584,0.8280930196226478,18.811815379556542,61454.93947489077,0,1,14,281.70718888763986,3251.76
1,False,30.84992022856658,0.8591352316232879,30.667297801644132,68927.3553815537,0,1,6,319.4412471752613,3800.78
2,False,19.42391902735733,2.588930859454236,38.09980659295832,47726.689751497914,5000,1,5,319.5687919555909,6865.53
3,True,28.028263183136193,4.5481946982145045,21.474630824905297,91385.8091352819,500,1,14,180.69218493209434,4286.3
4,False,22.893088200381072,4.3622651387932265,33.68671427457001,44909.73927750447,500,1,13,373.8286191519333,4587.88
5,False,14.839041963159005,3.0271243838618065,17.56042394981304,41787.17080818402,0,1,14,135.14724449706273,4147.93
6,False,22.891164844067312,2.05462138713541,16.55045163505823,77371.66310250101,0,1,13,155.52990937680815,3415.59
0,False,32.304292531727754,0.1757834523921681,30.94063894704444,71874.94040944404,0,1,13,101.08435976573188,3165.18
1,False,19.71339168712039,0.352588429366823,31.219053648303195,69361.79725578232,0,1,10,146.67842565667252,3140.26
2,False,32.51714924651205,4.576461000355011,34.1228970449462,69425.1826389642,500,1,12,289.2664804207569,3352.61
3,False,-0.957960832717955,1.864987893931179,36.78274001167985,59816.29840729628,500,1,5,342.44075242233544,3674.2
4,False,26.57522003500179,0.01847921122198882,44.275562383876036,46541.18442771253,5000,1,14,417.715779986585,7838.01
5,False,20.69637654590537,0.21399380287189865,30.48901044903586,61137.068372905895,5000,1,8,142.67970004537443,7509.05
6,False,17.60794119627306,2.178324774580482,24.688694188237378,49842.574327318325,0,1,5,440.2909840065819,3252.73
0,False,20.73408621228402,0.010148874103594005,38.85558584306111,74626.79600126627,100,1,12,398.38981021948723,3972.19
1,False,4.099448683192858,0.3506316322083981,23.124967537862226,57794.13927746792,1000,1,5,263.40731717436677,3870.4
2,False,18.242624897299905,1.5913956922778634,28.169142621169083,47617.54204811233,500,1,7,473.17522683998186,3782.83
3,False,22.85690057209397,2.3546305733096253,17.35369144026798,55179.2123752051,0,1,8,496.37179058295624,3481.74
4,False,31.82315235793213,2.1108829642704974,15.760522302463725,66193.97181413436,0,1,12,182.0007240212949,3937.83
5,False,15.853838253810821,0.507899734616049,43.87945244033775,51544.13170794038,0,1,10,251.69143398552018,3749.43
6,False,13.532051176854498,2.4908345777970777,40.079403615366175,47666.69406650353,5000,1,14,470.5797694358845,7168.62
0,False,15.985943651323709,0.5416475181056118,35.87922618281094,63655.30817237868,0,1,11,388.63862030051087,3730.22
1,False,27.323216941616593,0.7872698178361689,27.268588332428095,63674.49856663084,0,1,12,119.23785758563508,3622.75
2,False,22.630008877277476,2.7447151033315813,20.19882960212537,52395.85236943305,0,1,6,412.605792700566,3600.51
3,False,15.76191836986369,2.097547628605536,19.69311128013258,52934.425415725156,0,1,14,431.17635487099676,3370.89
4,False,24.10613946490685,3.783912154926802,22.50728694493786,63480.74906036454,0,1,12,400.2007699061254,4172.94
5,True,20.776620394784324,2.143626576339525,31.476799941183614,38278.73487754013,0,1,7,419.8148523678062,4678.49
6,False,27.749159924263115,1.6800886111745148,36.437877681001865,38888.04338435167,0,1,11,430.0530706771189,3410.46
0,False,14.383575248981181,0.19671412289682097,34.80592130153194,49223.33668121346,0,1,7,174.56199471525764,3135.36
1,False,17.378702827217854,0.9168326144140401,23.398016908378285,56798.292724322295,100,1,11,194.2766984259999,3164.96
2,False,16.86313477494274,0.6163202957176623,43.64595841989582,64663.61348397007,0,1,6,353.5034254880709,3473.09
3,False,8.291880414943051,0.5594004073248425,37.13690750087305,82130.34325424329,500,1,14,463.1464521850064,4226.95
4,False,22.368962216516607,7.2246188123258515,31.63062157534202,72864.8943480303,0,1,10,226.47863291859784,4496.8
5,False,22.088442177439113,0.9987749940800476,33.35162238703057,57600.922050548594,0,1,7,335.3226703180227,3960.46
6,False,20.040907653139687,4.452110422497046,27.588001872833697,59714.75688145967,500,1,7,373.19282536685296,4151.63
0,False,18.123302932998826,1.9946687714729663,22.431929685034724,44962.05953043287,0,1,13,280.7794405196157,3476.97
