day_of_week,is_holiday,temperature,precipitation,price_point,neighborhood_income,local_event_size,season,staff_count,marketing_spend,daily_revenue
6.0,,23.973713224089863,,,79003.66723779934,0.0,0.0,11.0,394.9620824375276,3798.25
0.0,False,,0.502334676551649,30.079112793155765,49384.958015718286,0.0,,9.0,,3505.41
1.0,False,25.18150830480554,0.2553607830912936,32.30711653879077,66657.29142219343,0.0,0.0,9.0,325.5860368075346,3739.09
2.0,False,32.184238851264205,0.8238171597248649,29.77553081456592,71619.51080144005,,,6.0,436.28399435117245,4009.66
3.0,False,18.126773002213312,5.726242245382299,20.85728963394133,46096.04292632875,,,7.0,135.68173148482248,3745.78
4.0,False,,0.7807676057629488,36.67356345784516,59107.119659073,0.0,0.0,11.0,314.1342256062094,3792.55
,False,,1.462905611520304,23.423170873225672,11380.989898963911,100.0,0.0,10.0,193.28656461992048,3665.05
6.0,False,26.13947783322327,2.4281739537617097,,44634.18537998565,0.0,0.0,6.0,237.1707457113041,3104.44
0.0,False,,0.9039489979339248,34.36416887721504,56211.4777291026,5000.0,0.0,10.0,289.5879765722225,5915.91
1.0,,24.34048034868772,7.135596276583399,,41283.25227052726,0.0,0.0,,242.04172131172191,3455.78
,False,16.292658457500302,6.564019729082796,43.21375753058743,84486.16955897454,,0.0,6.0,359.5291361166304,3658.29
3.0,True,16.274161971437945,,43.617857310077625,38547.87933059051,500.0,0.0,6.0,291.8328407017001,3750.56
4.0,False,21.935698172528276,,42.44593170661346,53399.332699545244,0.0,0.0,,333.6797938856677,3712.67
5.0,False,4.693758042737617,0.7158609201580935,26.10476100766333,61961.10865929137,,0.0,6.0,394.72899015796514,6278.25
6.0,False,6.200657339895738,0.6704993527621634,15.463698495866025,,0.0,0.0,8.0,323.09690638017497,3613.27
0.0,False,15.501699766072218,0.075168955531045,42.84955687763176,,5000.0,0.0,13.0,334.61417386430367,6323.39
1.0,False,11.89735103732461,1.8809841419651865,27.84552444951943,77447.45628232439,,0.0,10.0,325.7834170090565,3903.46
2.0,False,22.51397866076219,1.397039265659277,43.999644571310085,60153.4959152938,500.0,0.0,5.0,251.50905038051573,3751.5
