DATE,AvgTemp
01-01-2014,40
01-02-2014,43
01-03-2014,41
01-04-2014,37
01-05-2014,31
01-06-2014,31
01-07-2014,37
01-08-2014,36
01-09-2014,36
01-10-2014,39
01-11-2014,40
01-12-2014,39
1/13/2014,36
1/14/2014,39
1/15/2014,43
1/16/2014,45
1/17/2014,50
1/18/2014,46
1/19/2014,44
1/20/2014,45
1/21/2014,48
1/22/2014,38
1/23/2014,39
1/24/2014,47
1/25/2014,52
1/26/2014,50
1/27/2014,45
1/28/2014,34
1/29/2014,33
1/30/2014,34
1/31/2014,38
02-01-2014,43
02-02-2014,43
02-03-2014,43
02-04-2014,46
02-05-2014,46
02-06-2014,44
02-07-2014,46
02-08-2014,45
02-09-2014,46
02-10-2014,45
02-11-2014,43
02-12-2014,44
2/13/2014,42
2/14/2014,42
2/15/2014,47
2/16/2014,41
2/17/2014,40
2/18/2014,41
2/19/2014,41
2/20/2014,40
2/21/2014,41
2/22/2014,41
2/23/2014,41
2/24/2014,42
2/25/2014,40
2/26/2014,43
2/27/2014,46
2/28/2014,47
03-01-2014,48
03-02-2014,38
03-03-2014,37
03-04-2014,39
03-05-2014,40
03-06-2014,41
03-07-2014,44
03-08-2014,39
03-09-2014,42
03-10-2014,40
03-11-2014,40
03-12-2014,40
3/13/2014,44
3/14/2014,44
3/15/2014,40
3/16/2014,40
3/17/2014,45
3/18/2014,44
3/19/2014,44
3/20/2014,41
3/21/2014,39
3/22/2014,37
3/23/2014,39
3/24/2014,41
3/25/2014,44
3/26/2014,45
3/27/2014,39
3/28/2014,36
3/29/2014,36
3/30/2014,37
3/31/2014,37
04-01-2014,40
04-02-2014,43
04-03-2014,44
04-04-2014,41
04-05-2014,41
04-06-2014,42
04-07-2014,42
04-08-2014,44
04-09-2014,45
04-10-2014,45
04-11-2014,47
04-12-2014,44
4/13/2014,41
4/14/2014,41
4/15/2014,45
4/16/2014,50
4/17/2014,50
4/18/2014,52
4/19/2014,52
4/20/2014,49
4/21/2014,47
4/22/2014,48
4/23/2014,50
4/24/2014,50
4/25/2014,51
4/26/2014,54
4/27/2014,48
4/28/2014,47
4/29/2014,46
4/30/2014,44
05-01-2014,45
05-02-2014,45
05-03-2014,46
05-04-2014,46
05-05-2014,47
05-06-2014,49
05-07-2014,51
05-08-2014,52
05-09-2014,52
05-10-2014,49
05-11-2014,48
05-12-2014,47
5/13/2014,47
5/14/2014,48
5/15/2014,50
5/16/2014,52
5/17/2014,
5/18/2014,52
5/19/2014,52
5/20/2014,53
5/21/2014,55
5/22/2014,52
5/23/2014,50
5/24/2014,48
5/25/2014,45
5/26/2014,42
5/27/2014,42
5/28/2014,43
5/29/2014,44
5/30/2014,46
5/31/2014,43
06-01-2014,44
06-02-2014,42
06-03-2014,46
06-04-2014,45
06-05-2014,48
06-06-2014,44
06-07-2014,45
06-08-2014,48
06-09-2014,51
06-10-2014,52
06-11-2014,49
06-12-2014,45
6/13/2014,46
6/14/2014,50
6/15/2014,51
6/16/2014,50
6/17/2014,45
6/18/2014,44
6/19/2014,49
6/20/2014,46
6/21/2014,42
6/22/2014,45
6/23/2014,51
6/24/2014,51
6/25/2014,54
6/26/2014,56
6/27/2014,54
6/28/2014,53
6/29/2014,53
6/30/2014,52
07-01-2014,54
07-02-2014,54
07-03-2014,57
07-04-2014,56
07-05-2014,52
07-06-2014,49
07-07-2014,48
07-08-2014,50
07-09-2014,51
07-10-2014,53
07-11-2014,53
07-12-2014,52
7/13/2014,48
7/14/2014,46
7/15/2014,47
7/16/2014,46
7/17/2014,49
7/18/2014,48
7/19/2014,49
7/20/2014,46
7/21/2014,50
